carbonsource,experiment,cellno,ID,time,recovery_time,observation
gly2,231215,2,231215_gly2_2,16.2001,10.5143,0.272338744
gly2,231215,2,231215_gly2_2,16.5896,10.9038,0.24457939
gly2,231215,2,231215_gly2_2,16.979,11.2932,0.261513063
gly2,231215,2,231215_gly2_2,17.3684,11.6826,0.276484986
gly2,231215,2,231215_gly2_2,17.7578,12.072,0.213273928
gly2,231215,2,231215_gly2_2,18.1472,12.4614,0.288664171
gly2,231215,2,231215_gly2_2,18.5367,12.8509,0.285928103
gly2,231215,2,231215_gly2_2,18.9261,13.2403,0.250682527
gly2,231215,2,231215_gly2_2,19.3155,13.6297,0.223374257
gly2,231215,2,231215_gly2_2,19.7049,14.0191,0.2226281
gly2,231215,2,231215_gly2_2,20.0943,14.4085,0.290927221
gly2,231215,2,231215_gly2_2,20.4838,14.798,0.25569201
gly2,231215,2,231215_gly2_2,20.8732,15.1874,0.252130354
gly2,231215,2,231215_gly2_2,21.2626,15.5768,0.337687225
gly2,231215,2,231215_gly2_2,21.652,15.9662,0.300490203
gly2,231215,2,231215_gly2_2,22.0414,16.3556,0.267173956
gly2,231215,2,231215_gly2_2,22.4309,16.7451,0.257234064
gly2,231215,2,231215_gly2_2,22.8203,17.1345,0.269612587
gly2,231215,2,231215_gly2_2,23.2097,17.5239,0.234682204
gly2,231215,2,231215_gly2_2,23.5991,17.9133,0.272955049
gly2,231215,2,231215_gly2_2,23.9885,18.3027,0.254804125
gly2,231215,2,231215_gly2_2,24.378,18.6922,0.297721533
gly2,231215,2,231215_gly2_2,24.7674,19.0816,0.269258373
gly2,231215,2,231215_gly2_2,25.1568,19.471,0.295467669
gly2,231215,2,231215_gly2_2,25.5462,19.8604,0.287855217
gly2,231215,2,231215_gly2_2,25.9356,20.2498,0.231865493
gly2,231215,2,231215_gly2_2,26.3251,20.6393,0.300773667
gly2,231215,2,231215_gly2_2,26.7145,21.0287,0.24532314
gly2,231215,2,231215_gly2_2,27.1039,21.4181,0.277482383
gly2,231215,2,231215_gly2_2,27.4933,21.8075,0.24370764
gly2,231215,2,231215_gly2_2,27.8828,22.197,0.262614366
gly2,231215,2,231215_gly2_2,28.2722,22.5864,0.316234856
gly2,231215,2,231215_gly2_2,28.6616,22.9758,0.272501997
gly2,231215,2,231215_gly2_2,29.051,23.3652,0.250635325
gly2,231215,2,231215_gly2_2,29.4404,23.7546,0.285368568
gly2,231215,2,231215_gly2_2,29.8299,24.1441,0.2679563
gly2,231215,2,231215_gly2_2,30.2193,24.5335,0.28954005
gly2,231215,2,231215_gly2_2,30.6087,24.9229,0.266196023
gly2,231215,2,231215_gly2_2,30.9981,25.3123,0.324498985
gly2,231215,2,231215_gly2_2,31.3875,25.7017,0.29277094
gly2,231215,2,231215_gly2_2,31.777,26.0912,0.274094014
gly2,231215,2,231215_gly2_2,32.1664,26.4806,0.297141071
gly2,231215,2,231215_gly2_2,32.5558,26.87,0.286760297
