carbonsource,experiment,cellno,tag,time,recovery_time,observation
glu005,231215,2,231215_glu005_2,50.0158,40.6058,0.260015992
glu005,231215,2,231215_glu005_2,50.5234,41.1134,0.290886892
glu005,231215,2,231215_glu005_2,51.031,41.621,0.260072562
glu005,231215,2,231215_glu005_2,51.5385,42.1285,0.306112888
glu005,231215,2,231215_glu005_2,52.0461,42.6361,0.292970206
glu005,231215,2,231215_glu005_2,52.5537,43.1437,0.378322471
glu005,231215,2,231215_glu005_2,53.0613,43.6513,0.315073804
glu005,231215,2,231215_glu005_2,53.5688,44.1588,0.285425044
glu005,231215,2,231215_glu005_2,54.0764,44.6664,0.2865623
glu005,231215,2,231215_glu005_2,54.584,45.174,0.279824645
glu005,231215,2,231215_glu005_2,55.0916,45.6816,0.339161886
glu005,231215,2,231215_glu005_2,55.5991,46.1891,0.250451194
glu005,231215,2,231215_glu005_2,56.1067,46.6967,0.320509331
glu005,231215,2,231215_glu005_2,56.6143,47.2043,0.313102496
glu005,231215,2,231215_glu005_2,57.1218,47.7118,0.242201835
glu005,231215,3,231215_glu005_3,8.091,0,0.093391494
glu005,231215,3,231215_glu005_3,8.7686,0.6776,0.141158076
glu005,231215,3,231215_glu005_3,9.4462,1.3552,0.166519725
glu005,231215,3,231215_glu005_3,10.1237,2.0327,0.15025755
glu005,231215,3,231215_glu005_3,10.8013,2.7103,0.180968722
glu005,231215,3,231215_glu005_3,11.4789,3.3879,0.171012369
glu005,231215,3,231215_glu005_3,12.1564,4.0654,0.157435272
glu005,231215,3,231215_glu005_3,12.834,4.743,0.213857937
glu005,231215,3,231215_glu005_3,13.5116,5.4206,0.220733968
glu005,231215,3,231215_glu005_3,14.1891,6.0981,0.201797512
glu005,231215,3,231215_glu005_3,14.8667,6.7757,0.217160818
glu005,231215,3,231215_glu005_3,15.5443,7.4533,0.216387321
glu005,231215,3,231215_glu005_3,16.2218,8.1308,0.218958148
glu005,231215,3,231215_glu005_3,16.8994,8.8084,0.239712132
glu005,231215,3,231215_glu005_3,17.577,9.486,0.24182433
glu005,231215,3,231215_glu005_3,18.2545,10.1635,0.224969781
glu005,231215,3,231215_glu005_3,18.9321,10.8411,0.247327296
glu005,231215,3,231215_glu005_3,19.6097,11.5187,0.240720806
glu005,231215,3,231215_glu005_3,20.2872,12.1962,0.23664019
glu005,231215,3,231215_glu005_3,20.9648,12.8738,0.275124053
glu005,231215,3,231215_glu005_3,21.6424,13.5514,0.242615671
glu005,231215,3,231215_glu005_3,22.3199,14.2289,0.23457108
glu005,231215,3,231215_glu005_3,22.9975,14.9065,0.241332192
glu005,231215,3,231215_glu005_3,23.6751,15.5841,0.265851568
glu005,231215,3,231215_glu005_3,24.3526,16.2616,0.250094831
glu005,231215,3,231215_glu005_3,25.0302,16.9392,0.243432144
glu005,231215,3,231215_glu005_3,25.7078,17.6168,0.27833484
glu005,231215,3,231215_glu005_3,26.3854,18.2944,0.264278864
glu005,231215,3,231215_glu005_3,27.0629,18.9719,0.272863959
glu005,231215,3,231215_glu005_3,27.7405,19.6495,0.286157342
glu005,231215,3,231215_glu005_3,28.4181,20.3271,0.232090658
glu005,231215,3,231215_glu005_3,29.0956,21.0046,0.317449624
glu005,231215,3,231215_glu005_3,29.7732,21.6822,0.258098096
glu005,231215,3,231215_glu005_3,30.4508,22.3598,0.29811463
glu005,231215,3,231215_glu005_3,31.1283,23.0373,0.215555272
glu005,231215,3,231215_glu005_3,31.8059,23.7149,0.251376582
glu005,231215,3,231215_glu005_3,32.4835,24.3925,0.288020732
glu005,231215,3,231215_glu005_3,33.161,25.07,0.2443893
glu005,231215,3,231215_glu005_3,33.8386,25.7476,0.291081223
glu005,231215,3,231215_glu005_3,34.5162,26.4252,0.31261238
glu005,231215,3,231215_glu005_3,35.1937,27.1027,0.245292125
glu005,231215,3,231215_glu005_3,35.8713,27.7803,0.300082583
glu005,231215,3,231215_glu005_3,36.5489,28.4579,0.309183634
glu005,231215,3,231215_glu005_3,37.2264,29.1354,0.293990362
glu005,231215,3,231215_glu005_3,37.904,29.813,0.299223921
glu005,231215,3,231215_glu005_3,38.5816,30.4906,0.307540888
glu005,231215,3,231215_glu005_3,39.2591,31.1681,0.282663582
glu005,231215,3,231215_glu005_3,39.9367,31.8457,0.328209642
glu005,231215,3,231215_glu005_3,40.6143,32.5233,0.296135906
glu005,231215,3,231215_glu005_3,41.2918,33.2008,0.295605143
glu005,231215,3,231215_glu005_3,41.9694,33.8784,0.265398174
glu005,231215,3,231215_glu005_3,42.647,34.556,0.294073932
glu005,231215,3,231215_glu005_3,43.3245,35.2335,0.273487766
glu005,231215,3,231215_glu005_3,44.0021,35.9111,0.309811558
glu005,231215,3,231215_glu005_3,44.6797,36.5887,0.254992635
glu005,231215,3,231215_glu005_3,45.3572,37.2662,0.291172436
glu005,231215,3,231215_glu005_3,46.0348,37.9438,0.337244508
glu005,231215,3,231215_glu005_3,46.7124,38.6214,0.27329814
glu005,231215,3,231215_glu005_3,47.3899,39.2989,0.29861692
glu005,231215,3,231215_glu005_3,48.0675,39.9765,0.344582767
glu005,231215,3,231215_glu005_3,48.7451,40.6541,0.284630573
glu005,231215,3,231215_glu005_3,49.4227,41.3317,0.378478232
glu005,231215,3,231215_glu005_3,50.1002,42.0092,0.366413679
glu005,231215,3,231215_glu005_3,50.7778,42.6868,0.365659439
glu005,231215,3,231215_glu005_3,51.4554,43.3644,0.322855261
glu005,231215,3,231215_glu005_3,52.1329,44.0419,0.370138406
glu005,231215,3,231215_glu005_3,52.8105,44.7195,0.328198709
