"carbonsource","cell_area_cyto","cell_area_nucleus","cellno","experiment","measurement_count","ID","time","measured_nuc_area","measured_cyto_area","BG_area","REF_area","ROI_nuc","ROI_cyto","BG","REF","REF_BG","logref","MID","a","r","y_start",".fitted",".resid","recovery_time","ROI_nuc_BG","ROI_cyto_BG","frap_norm","normREF","fullnormREF","normint","bleach_corrected_nucleus","bleach_corrected_nucleus_zeroes","fraptest","reftest","bleach_corrected_nucleus_test","normint_cyto","normint_nuc_zero","bleach_depth_nuc","bleached_volume","gap_ratio_nuc","corr_normint_nuc","tag"
"glu005",13.747,15.756,7,231215,20,"231215-glu005-7-20",16.6342,2.1801,NA,4.8108,54.147,6.527,NA,2.103,9.746,7.643,2.1567497447705,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,7.47729060919402,0.165709390805977,6.1271,4.424,NA,0.083391642482708,15.5131617371231,0.793114537833877,0.285177198237632,5.68127469112436,0.0979969466922721,0.19654535115155,0.689204299523878,0.218144303845188,NA,0.167728452335669,0.868984574921808,0.207549504950495,22.3012504950495,0.0127874980957205,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,21,"231215-glu005-7-21",17.0718,2.1801,NA,4.8108,54.147,5.757,NA,2.041,9.633,7.592,2.15083153776651,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,7.39135793478497,0.200642065215032,6.5647,3.716,NA,0.0392296309891143,15.409645938537,0.787822264979039,0.241147656138347,4.79119352376878,0.0564705282090178,0.165090986636338,0.684605396046746,0.183984162726903,NA,0.116402658387882,0.868984574921808,0.207549504950495,22.3012504950495,0.0108131898788311,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,22,"231215-glu005-7-22",17.5095,2.1801,NA,4.8108,54.147,6.967,NA,2.169,9.28,7.111,2.09322116508821,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,7.30677199212249,-0.195771992122491,7.0024,4.798,NA,0.108627077621904,14.4333498773626,0.737908868053997,0.332424561225751,6.21106374295059,0.122714065401058,0.213161074779642,0.641231424036935,0.238529095528534,NA,0.222805300780655,0.868984574921808,0.207549504950495,22.3012504950495,0.0149060951223136,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,23,"231215-glu005-7-23",17.9471,2.1801,NA,4.8108,54.147,6.987,NA,2.082,9.195,7.113,2.09346771341293,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,7.22354971624224,-0.110549716242237,7.44,4.905,NA,0.109774142855504,14.4374093204444,0.738116408165952,0.339742393606184,6.37502793868044,0.130363756303268,0.217914771111743,0.641411773192901,0.244847743512361,NA,0.231335790515378,0.868984574921808,0.207549504950495,22.3012504950495,0.0152342306401877,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,24,"231215-glu005-7-24",18.3847,2.1801,NA,4.8108,54.147,7.027,NA,2.042,9.066,7.024,2.08243705065963,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,7.14165026093128,-0.117650260931276,7.8776,4.985,NA,0.112068273322704,14.256764103304,0.728880873183979,0.349658587592449,6.50497424377021,0.136426354685775,0.221468936593688,0.633386235752417,0.249860861692343,NA,0.242895223228479,0.868984574921808,0.207549504950495,22.3012504950495,0.0156788780821984,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,25,"231215-glu005-7-25",18.8224,2.1801,NA,4.8108,54.147,4.957,NA,2.008,8.923,6.915,2.06875969333298,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,7.06103432899782,-0.146034328997815,8.3153,2.949,NA,-0.00665297835487907,14.0355244553455,0.717569937082462,0.210109711922938,3.86360683973251,0.0131943032606518,0.131015425078192,0.623557206752272,0.148417197123632,NA,0.0802213343629641,0.868984574921808,0.207549504950495,22.3012504950495,0.00942143185959812,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,26,"231215-glu005-7-26",19.26,2.1801,NA,4.8108,54.147,5.663,NA,2.056,8.843,6.787,2.05245567659485,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.9817180606377,-0.194718060637698,8.7529,3.607,NA,0.0338384243911951,13.7757200981099,0.704287369917379,0.261837491928635,4.74462217156734,0.054297758430511,0.160248436167188,0.612014860770452,0.182276873976992,NA,0.14052106157707,0.868984574921808,0.207549504950495,22.3012504950495,0.0117409331816061,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,27,"231215-glu005-7-27",19.6977,2.1801,NA,4.8108,54.147,6.163,NA,2.246,8.941,6.695,2.04057076729084,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.9036448321033,-0.2086448321033,9.1906,3.917,NA,0.062515055231191,13.5889857163468,0.694740524767474,0.288248150506778,5.17305145445216,0.0742859733754613,0.174020827409724,0.603718799596018,0.198753773780351,NA,0.171308300225847,0.868984574921808,0.207549504950495,22.3012504950495,0.0129252012379648,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,28,"231215-glu005-7-28",20.1353,2.1801,NA,4.8108,54.147,6.757,NA,2.107,9.033,6.926,2.07014849476824,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.82683027451329,0.0991697254867043,9.6282,4.65,NA,0.0965828926691061,14.0578513922955,0.718711407698212,0.330776010518113,6.16571601101896,0.120598383188554,0.206585868638044,0.624549127110085,0.23691400870706,NA,0.220883564375995,0.868984574921808,0.207549504950495,22.3012504950495,0.0148321732268574,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,29,"231215-glu005-7-29",20.573,2.1801,NA,4.8108,54.147,6.137,NA,2.021,8.67,6.649,2.03457492033973,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.75121955008707,-0.10221955008707,10.0659,4.116,NA,0.0610238704275112,13.4956185254653,0.689967102192522,0.304987873822411,5.47953450071275,0.0885848302705601,0.182861814046062,0.599570769008801,0.210566625281022,NA,0.19082200735693,0.868984574921808,0.207549504950495,22.3012504950495,0.0136758193846624,"231215_glu005_7"
